Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility_Percentage,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
NCX18,14.15,Low Fat,0.01,Household,195.01,OUT035,2004,Small,Tier 2,Supermarket Type1,1964.11
NCZ17,,Low Fat,0.08,Health and Hygiene,39.85,OUT027,1985,Medium,Tier 3,Supermarket Type3,1480.07
FDD57,18.1,Low Fat,0.02,Fruits and Vegetables,96.01,OUT046,1997,Small,Tier 1,Supermarket Type1,1808.98
FDZ48,17.75,Low Fat,0.08,Baking Goods,112.45,OUT049,1999,Medium,Tier 1,Supermarket Type1,2348.94
FDZ31,15.35,Regular,0,Fruits and Vegetables,193.05,OUT049,1999,Medium,Tier 1,Supermarket Type1,2492.76
FDA04,,Regular,0.07,Frozen Foods,259.8,OUT027,1985,Medium,Tier 3,Supermarket Type3,5697.92
FDL21,15.85,Regular,0.01,Snack Foods,40.85,OUT013,1987,High,Tier 3,Supermarket Type1,679.12
DRG49,,Low Fat,0.07,Soft Drinks,242.85,OUT027,1985,Medium,Tier 3,Supermarket Type3,3420.88
FDR51,,Regular,0.17,Meat,148.47,OUT027,1985,Medium,Tier 3,Supermarket Type3,3761.77
FDC39,7.405,Low Fat,0,Dairy,205.73,OUT017,2007,,Tier 2,Supermarket Type1,4570.05
FDP45,15.7,Regular,0.03,Snack Foods,252.97,OUT017,2007,,Tier 2,Supermarket Type1,3020.07
FDC56,7.72,Low Fat,0.12,Fruits and Vegetables,118.24,OUT046,1997,Small,Tier 1,Supermarket Type1,958.75
FDE59,12.15,Low Fat,0.06,Starchy Foods,36.65,OUT017,2007,,Tier 2,Supermarket Type1,251.67
FDB04,11.35,Regular,0.06,Dairy,89.49,OUT017,2007,,Tier 2,Supermarket Type1,1142.51
NCK05,20.1,Low Fat,0.08,Health and Hygiene,60.85,OUT013,1987,High,Tier 3,Supermarket Type1,1347.58
FDR03,15.7,Regular,0.01,Meat,205,OUT017,2007,,Tier 2,Supermarket Type1,5366.35
FDQ03,,Regular,0.14,Meat,238.02,OUT019,1985,Small,Tier 1,Grocery Store,711.07
FDC59,16.7,Regular,0.06,Starchy Foods,64.22,OUT017,2007,,Tier 2,Supermarket Type1,1661.84
DRB13,6.115,Regular,0.01,Soft Drinks,191.15,OUT017,2007,,Tier 2,Supermarket Type1,3415.55
NCE54,20.7,Low Fat,0.03,Household,73.94,OUT017,2007,,Tier 2,Supermarket Type1,1655.18
FDP23,,Low Fat,0.04,Breads,218.22,OUT027,1985,Medium,Tier 3,Supermarket Type3,3701.18
NCL29,9.695,Low Fat,0.11,Health and Hygiene,158.86,OUT049,1999,Medium,Tier 1,Supermarket Type1,4436.89
FDM57,11.65,Regular,0.08,Snack Foods,85.19,OUT046,1997,Small,Tier 1,Supermarket Type1,2181.16
FDZ36,6.035,Regular,0.07,Baking Goods,188.32,OUT013,1987,High,Tier 3,Supermarket Type1,1491.39
FDO46,9.6,Regular,0.01,Snack Foods,187.39,OUT018,2009,Medium,Tier 3,Supermarket Type2,2647.22
FDD16,20.5,Low Fat,0.06,Frozen Foods,75.07,OUT010,1998,,Tier 3,Grocery Store,149.14
FDZ20,,Low Fat,0,Fruits and Vegetables,253.04,OUT027,1985,Medium,Tier 3,Supermarket Type3,11445.1
FDY44,14.15,Regular,0.02,Fruits and Vegetables,197.21,OUT045,2002,,Tier 2,Supermarket Type1,3731.81
FDW38,,Regular,0,Dairy,55.93,OUT019,1985,Small,Tier 1,Grocery Store,107.86
FDY33,,Regular,0.1,Snack Foods,159.03,OUT027,1985,Medium,Tier 3,Supermarket Type3,5887.67
DRH51,17.6,Low Fat,0.1,Dairy,89.89,OUT035,2004,Small,Tier 2,Supermarket Type1,351.54
FDI50,8.42,Regular,0.03,Canned,228.74,OUT049,1999,Medium,Tier 1,Supermarket Type1,5954.92
FDB60,9.3,Low Fat,0.03,Baking Goods,195.81,OUT013,1987,High,Tier 3,Supermarket Type1,2332.96
FDA20,6.78,Low Fat,0.07,Fruits and Vegetables,185.32,OUT013,1987,High,Tier 3,Supermarket Type1,3914.9
NCX05,,Low Fat,0.17,Health and Hygiene,116.25,OUT019,1985,Small,Tier 1,Grocery Store,115.85
DRF37,17.25,Low Fat,0,Soft Drinks,263.59,OUT045,2002,,Tier 2,Supermarket Type1,788.97
FDJ26,15.3,Regular,0.09,Canned,215.02,OUT046,1997,Small,Tier 1,Supermarket Type1,1923.5
FDZ58,17.85,Low Fat,0.05,Snack Foods,121.71,OUT035,2004,Small,Tier 2,Supermarket Type1,2817.67
FDZ50,,Regular,0,Dairy,184.26,OUT027,1985,Medium,Tier 3,Supermarket Type3,6064.11
NCG18,15.3,Low Fat,0.04,Household,104.03,OUT010,1998,,Tier 3,Grocery Store,205.07
FDH50,15,Regular,0.16,Canned,185.13,OUT013,1987,High,Tier 3,Supermarket Type1,2213.12
DRO35,13.85,Low Fat,0.04,Hard Drinks,116.15,OUT045,2002,,Tier 2,Supermarket Type1,1274.34
FDP52,18.7,Regular,0.07,Frozen Foods,228.6,OUT017,2007,,Tier 2,Supermarket Type1,4823.72
FDC05,13.1,Regular,0.1,Frozen Foods,195.78,OUT049,1999,Medium,Tier 1,Supermarket Type1,4138.61
NCA41,16.75,Low Fat,0.03,Health and Hygiene,192.12,OUT035,2004,Small,Tier 2,Supermarket Type1,3848.32
FDX56,17.1,Regular,0,Fruits and Vegetables,208.56,OUT049,1999,Medium,Tier 1,Supermarket Type1,5383.66
FDS01,,Low Fat,0.03,Canned,179.67,OUT019,1985,Small,Tier 1,Grocery Store,177.77
FDW34,,Low Fat,0.06,Snack Foods,242.42,OUT019,1985,Small,Tier 1,Grocery Store,486.03
NCP02,7.105,Low Fat,0.05,Household,59.26,OUT018,2009,Medium,Tier 3,Supermarket Type2,651.82
FDZ49,11,Regular,0.13,Canned,221.58,OUT035,2004,Small,Tier 2,Supermarket Type1,4187.22
NCJ17,7.68,Low Fat,0.26,Health and Hygiene,84.42,OUT010,1998,,Tier 3,Grocery Store,170.44
FDI53,8.895,Regular,0.14,Frozen Foods,162.12,OUT049,1999,Medium,Tier 1,Supermarket Type1,2577.98
FDW02,4.805,Regular,0.04,Dairy,126.77,OUT013,1987,High,Tier 3,Supermarket Type1,2628.58
FDO48,15,Regular,0.03,Baking Goods,220.95,OUT018,2009,Medium,Tier 3,Supermarket Type2,1768.36
FDF56,16.7,Regular,0.12,Fruits and Vegetables,180.4,OUT013,1987,High,Tier 3,Supermarket Type1,3078.66
FDL57,15.1,Regular,0.07,Snack Foods,257.33,OUT018,2009,Medium,Tier 3,Supermarket Type2,3874.96
FDV52,20.7,Regular,0.12,Frozen Foods,119.75,OUT017,2007,,Tier 2,Supermarket Type1,4006.78
NCS41,12.85,Low Fat,0.05,Health and Hygiene,185.16,OUT049,1999,Medium,Tier 1,Supermarket Type1,2388.89
FDF12,8.235,Low Fat,0.08,Baking Goods,149.11,OUT045,2002,,Tier 2,Supermarket Type1,1182.46
FDM13,6.425,Low Fat,0.06,Breakfast,131.36,OUT013,1987,High,Tier 3,Supermarket Type1,262.33
FDW55,,Regular,0.02,Fruits and Vegetables,247.01,OUT027,1985,Medium,Tier 3,Supermarket Type3,5478.2
NCT29,,Low Fat,0.06,Health and Hygiene,123.04,OUT027,1985,Medium,Tier 3,Supermarket Type3,4629.97
NCS42,8.6,Low Fat,0.07,Household,90.51,OUT017,2007,,Tier 2,Supermarket Type1,729.72
FDD47,7.6,Regular,0.14,Starchy Foods,171.94,OUT046,1997,Small,Tier 1,Supermarket Type1,3749.79
DRE03,19.6,Low Fat,0.02,Dairy,48.77,OUT046,1997,Small,Tier 1,Supermarket Type1,236.36
NCM18,,Low Fat,0.08,Household,61.32,OUT027,1985,Medium,Tier 3,Supermarket Type3,2043.34
FDE20,11.35,Regular,0.01,Fruits and Vegetables,171.18,OUT046,1997,Small,Tier 1,Supermarket Type1,4923.59
FDI33,16.5,Low Fat,0.03,Snack Foods,90.31,OUT017,2007,,Tier 2,Supermarket Type1,2554.01
NCT06,17.1,Low Fat,0.04,Household,165.08,OUT013,1987,High,Tier 3,Supermarket Type1,2320.98
FDK52,18.25,Low Fat,0.13,Frozen Foods,226.21,OUT010,1998,,Tier 3,Grocery Store,677.12
FDJ36,14.5,Regular,0.13,Baking Goods,102.03,OUT049,1999,Medium,Tier 1,Supermarket Type1,2050.66
NCK18,9.6,Low Fat,0.01,Household,166.92,OUT010,1998,,Tier 3,Grocery Store,660.47
FDB08,6.055,Low Fat,0.03,Fruits and Vegetables,159.96,OUT046,1997,Small,Tier 1,Supermarket Type1,2727.78
FDX43,5.655,Low Fat,0.09,Fruits and Vegetables,165.05,OUT046,1997,Small,Tier 1,Supermarket Type1,2330.3
FDU58,6.61,Regular,0.05,Snack Foods,188.49,OUT010,1998,,Tier 3,Grocery Store,187.09
FDL09,,Regular,0.22,Snack Foods,168.88,OUT019,1985,Small,Tier 1,Grocery Store,167.78
FDR37,16.5,Regular,0.07,Breakfast,184.43,OUT013,1987,High,Tier 3,Supermarket Type1,3101.3
FDG56,13.3,Regular,0.07,Fruits and Vegetables,61.05,OUT035,2004,Small,Tier 2,Supermarket Type1,1898.86
NCC55,10.695,Low Fat,0.06,Household,36.08,OUT018,2009,Medium,Tier 3,Supermarket Type2,372.85
FDA25,16.5,Regular,0.07,Canned,101.2,OUT046,1997,Small,Tier 1,Supermarket Type1,1031.99
FDV33,9.6,Regular,0.03,Snack Foods,257.83,OUT046,1997,Small,Tier 1,Supermarket Type1,1808.31
FDX47,6.55,Regular,0.04,Breads,155.83,OUT049,1999,Medium,Tier 1,Supermarket Type1,1099.9
FDB02,9.695,Regular,0.03,Canned,174.54,OUT035,2004,Small,Tier 2,Supermarket Type1,1235.06
FDI56,7.325,Low Fat,0.09,Fruits and Vegetables,90.31,OUT018,2009,Medium,Tier 3,Supermarket Type2,1733.08
DRJ49,6.865,Low Fat,0.01,Soft Drinks,128.97,OUT018,2009,Medium,Tier 3,Supermarket Type2,1679.15
FDP26,7.785,Low Fat,0.14,Dairy,103.03,OUT013,1987,High,Tier 3,Supermarket Type1,2404.2
FDO32,6.36,Low Fat,0.12,Fruits and Vegetables,45.91,OUT035,2004,Small,Tier 2,Supermarket Type1,419.45
FDR34,17,Regular,0.02,Snack Foods,229.44,OUT046,1997,Small,Tier 1,Supermarket Type1,4809.74
FDU59,5.78,Low Fat,0.1,Breads,163.56,OUT046,1997,Small,Tier 1,Supermarket Type1,1787.01
FDN31,11.5,Low Fat,0.07,Fruits and Vegetables,187.95,OUT045,2002,,Tier 2,Supermarket Type1,2656.54
FDT55,,Regular,0.04,Fruits and Vegetables,158.19,OUT027,1985,Medium,Tier 3,Supermarket Type3,6942.96
FDC03,8.575,Regular,0.07,Dairy,195.38,OUT049,1999,Medium,Tier 1,Supermarket Type1,3511.43
FDL14,8.115,Regular,0.05,Canned,155.3,OUT010,1998,,Tier 3,Grocery Store,311.59
FDP39,12.65,Low Fat,0.07,Meat,52.43,OUT045,2002,,Tier 2,Supermarket Type1,571.26
FDT11,5.94,Regular,0.03,Breads,187.76,OUT035,2004,Small,Tier 2,Supermarket Type1,3755.11
FDU48,18.85,Low Fat,0.06,Baking Goods,131.53,OUT035,2004,Small,Tier 2,Supermarket Type1,1581.94
FDT45,15.85,Low Fat,0.06,Snack Foods,55.9,OUT018,2009,Medium,Tier 3,Supermarket Type2,491.36
FDE56,17.25,Regular,0.16,Fruits and Vegetables,61.52,OUT017,2007,,Tier 2,Supermarket Type1,1052.63
FDZ34,6.695,Low Fat,0,Starchy Foods,191.88,OUT013,1987,High,Tier 3,Supermarket Type1,3861.64
FDV24,5.635,Low Fat,0,Baking Goods,148.71,OUT049,1999,Medium,Tier 1,Supermarket Type1,1198.44
FDQ39,14.8,Low Fat,0.08,Meat,191.48,OUT018,2009,Medium,Tier 3,Supermarket Type2,3057.35
FDE11,17.7,Regular,0,Starchy Foods,184.39,OUT046,1997,Small,Tier 1,Supermarket Type1,4257.13
NCU54,8.88,Low Fat,0.1,Household,208.93,OUT049,1999,Medium,Tier 1,Supermarket Type1,7130.72
FDO60,20,Low Fat,0.04,Baking Goods,45.31,OUT017,2007,,Tier 2,Supermarket Type1,490.69
NCS06,7.935,Low Fat,0.03,Household,263.09,OUT013,1987,High,Tier 3,Supermarket Type1,5522.81
FDQ55,13.65,Regular,0.01,Fruits and Vegetables,114.78,OUT035,2004,Small,Tier 2,Supermarket Type1,3455.5
NCO02,11.15,Low Fat,0.07,Others,66.01,OUT017,2007,,Tier 2,Supermarket Type1,988.71
FDB12,11.15,Regular,0.11,Baking Goods,102.76,OUT013,1987,High,Tier 3,Supermarket Type1,1142.51
FDT40,5.985,Low Fat,0.1,Frozen Foods,125.87,OUT013,1987,High,Tier 3,Supermarket Type1,3560.7
NCO05,7.27,Low Fat,0.05,Health and Hygiene,99.34,OUT017,2007,,Tier 2,Supermarket Type1,2759.08
FDM04,9.195,Regular,0.05,Frozen Foods,50.77,OUT018,2009,Medium,Tier 3,Supermarket Type2,512.67
FDH08,7.51,Low Fat,0.02,Fruits and Vegetables,229.6,OUT046,1997,Small,Tier 1,Supermarket Type1,6201.93
NCQ06,,Low Fat,0.07,Household,254.1,OUT019,1985,Small,Tier 1,Grocery Store,255
FDZ40,,Low Fat,0.04,Frozen Foods,55.73,OUT027,1985,Medium,Tier 3,Supermarket Type3,1024.67
NCM17,,Low Fat,0.07,Health and Hygiene,46.41,OUT027,1985,Medium,Tier 3,Supermarket Type3,2007.39
FDU03,18.7,Regular,0.09,Meat,184.23,OUT018,2009,Medium,Tier 3,Supermarket Type2,1277
NCX30,,Low Fat,0.05,Household,248.68,OUT019,1985,Small,Tier 1,Grocery Store,495.36
FDV08,7.35,Low Fat,0.03,Fruits and Vegetables,40.55,OUT045,2002,,Tier 2,Supermarket Type1,545.29
DRK47,7.905,Low Fat,0.06,Hard Drinks,229.47,OUT045,2002,,Tier 2,Supermarket Type1,2055.32
DRI47,14.7,Low Fat,0.02,Hard Drinks,141.81,OUT035,2004,Small,Tier 2,Supermarket Type1,1869.57
FDR35,12.5,Low Fat,0.02,Breads,197.27,OUT013,1987,High,Tier 3,Supermarket Type1,2587.96
FDK03,12.6,Regular,0.12,Dairy,253.04,OUT010,1998,,Tier 3,Grocery Store,254.34
FDZ59,,Regular,0.18,Baking Goods,165.65,OUT019,1985,Small,Tier 1,Grocery Store,665.8
FDL03,19.25,Regular,0.03,Meat,197.51,OUT017,2007,,Tier 2,Supermarket Type1,982.06
DRC25,,Low Fat,0.08,Soft Drinks,86.79,OUT019,1985,Small,Tier 1,Grocery Store,85.89
NCG07,12.3,Low Fat,0.05,Household,188.75,OUT013,1987,High,Tier 3,Supermarket Type1,3795.06
FDL45,15.6,Low Fat,0.04,Snack Foods,123.77,OUT035,2004,Small,Tier 2,Supermarket Type1,3129.26
FDC45,17,Low Fat,0.14,Fruits and Vegetables,170.91,OUT018,2009,Medium,Tier 3,Supermarket Type2,1197.77
FDI40,11.5,Regular,0.13,Frozen Foods,100.54,OUT045,2002,,Tier 2,Supermarket Type1,2111.25
FDQ11,5.695,Regular,0.07,Breads,256.6,OUT046,1997,Small,Tier 1,Supermarket Type1,2055.99
FDQ52,17,Low Fat,0.12,Frozen Foods,247.44,OUT013,1987,High,Tier 3,Supermarket Type1,2980.12
FDJ27,17.7,Regular,0.12,Meat,100.77,OUT045,2002,,Tier 2,Supermarket Type1,814.94
FDT26,18.85,Regular,0.07,Dairy,119.04,OUT046,1997,Small,Tier 1,Supermarket Type1,2396.88
NCH07,13.15,Low Fat,0.09,Household,158.16,OUT017,2007,,Tier 2,Supermarket Type1,1426.14
FDP44,16.5,Regular,0.08,Fruits and Vegetables,102.73,OUT045,2002,,Tier 2,Supermarket Type1,1538
FDI48,11.85,Regular,0.06,Baking Goods,51.47,OUT017,2007,,Tier 2,Supermarket Type1,974.07
NCF06,6.235,Low Fat,0.02,Household,260.9,OUT049,1999,Medium,Tier 1,Supermarket Type1,5956.91
NCL05,,Low Fat,0.08,Health and Hygiene,44.08,OUT019,1985,Small,Tier 1,Grocery Store,216.39
FDT24,12.35,Regular,0.19,Baking Goods,78.23,OUT049,1999,Medium,Tier 1,Supermarket Type1,1158.49
FDS11,7.05,Regular,0.06,Breads,224.71,OUT046,1997,Small,Tier 1,Supermarket Type1,3131.92
FDC28,,Low Fat,0,Frozen Foods,109.93,OUT019,1985,Small,Tier 1,Grocery Store,108.53
DRE15,13.35,Low Fat,0,Dairy,75.7,OUT017,2007,,Tier 2,Supermarket Type1,1442.12
NCI42,18.75,Low Fat,0.01,Household,207.1,OUT046,1997,Small,Tier 1,Supermarket Type1,3125.93
FDX37,16.2,Low Fat,0,Canned,100.57,OUT013,1987,High,Tier 3,Supermarket Type1,1398.18
FDM09,11.15,Regular,0.09,Snack Foods,169.68,OUT046,1997,Small,Tier 1,Supermarket Type1,1018.67
NCW54,7.5,Low Fat,0.1,Household,56.26,OUT018,2009,Medium,Tier 3,Supermarket Type2,687.11
FDF47,20.85,Low Fat,0.1,Starchy Foods,224.07,OUT017,2007,,Tier 2,Supermarket Type1,2243.75
DRD01,12.1,Regular,0.06,Soft Drinks,56.56,OUT035,2004,Small,Tier 2,Supermarket Type1,828.92
FDN25,7.895,Regular,0.06,Breakfast,58.56,OUT013,1987,High,Tier 3,Supermarket Type1,171.78
FDW36,,Low Fat,0.1,Baking Goods,107.46,OUT019,1985,Small,Tier 1,Grocery Store,317.59
FDP20,19.85,Low Fat,0.05,Fruits and Vegetables,126.4,OUT046,1997,Small,Tier 1,Supermarket Type1,1012.02
FDR45,10.8,Low Fat,0.03,Snack Foods,239.22,OUT049,1999,Medium,Tier 1,Supermarket Type1,6692.62
FDZ45,14.1,Low Fat,0.11,Snack Foods,198.81,OUT010,1998,,Tier 3,Grocery Store,992.04
FDB23,19.2,Regular,0.01,Starchy Foods,226.61,OUT017,2007,,Tier 2,Supermarket Type1,5191.24
NCM26,20.5,Low Fat,0.02,Others,154.13,OUT017,2007,,Tier 2,Supermarket Type1,2909.55
FDK40,7.035,Low Fat,0.02,Frozen Foods,264.69,OUT018,2009,Medium,Tier 3,Supermarket Type2,5785.8
NCL42,18.85,Low Fat,0.04,Household,246.71,OUT013,1987,High,Tier 3,Supermarket Type1,6615.39
FDY04,17.7,Regular,0.04,Frozen Foods,162.42,OUT035,2004,Small,Tier 2,Supermarket Type1,1468.09
NCG30,20.2,Low Fat,0.11,Household,123.6,OUT046,1997,Small,Tier 1,Supermarket Type1,2988.11
NCH29,5.51,Low Fat,0.04,Health and Hygiene,98.57,OUT017,2007,,Tier 2,Supermarket Type1,1761.71
NCM29,11.5,Low Fat,0.03,Health and Hygiene,132.66,OUT010,1998,,Tier 3,Grocery Store,262.33
FDD53,16.2,Low Fat,0.04,Frozen Foods,43.35,OUT049,1999,Medium,Tier 1,Supermarket Type1,503.34
NCP41,16.6,Low Fat,0.02,Health and Hygiene,109.86,OUT018,2009,Medium,Tier 3,Supermarket Type2,1617.89
FDJ28,12.3,Low Fat,0.02,Frozen Foods,193.32,OUT046,1997,Small,Tier 1,Supermarket Type1,3078.66
FDH44,19.1,Regular,0.04,Fruits and Vegetables,147.54,OUT010,1998,,Tier 3,Grocery Store,294.28
NCY54,8.43,Low Fat,0.18,Household,174.04,OUT049,1999,Medium,Tier 1,Supermarket Type1,2069.31
DRA59,8.27,Regular,0.13,Soft Drinks,184.89,OUT046,1997,Small,Tier 1,Supermarket Type1,4442.22
FDS55,7.02,Low Fat,0.08,Fruits and Vegetables,148.07,OUT017,2007,,Tier 2,Supermarket Type1,1930.15
NCN19,13.1,Low Fat,0.01,Others,189.85,OUT013,1987,High,Tier 3,Supermarket Type1,3415.55
FDH09,12.6,Low Fat,0.06,Seafood,50.8,OUT035,2004,Small,Tier 2,Supermarket Type1,473.38
FDS25,6.885,Regular,0.14,Canned,111.42,OUT017,2007,,Tier 2,Supermarket Type1,2984.12
NCI30,20.25,Low Fat,0.06,Household,246.45,OUT017,2007,,Tier 2,Supermarket Type1,3695.19
FDM33,15.6,Low Fat,0,Snack Foods,220.48,OUT018,2009,Medium,Tier 3,Supermarket Type2,661.14
NCA53,11.395,low fat,0.01,Health and Hygiene,50.3,OUT049,1999,Medium,Tier 1,Supermarket Type1,972.07
FDS56,5.785,Regular,0.04,Fruits and Vegetables,260.73,OUT046,1997,Small,Tier 1,Supermarket Type1,6033.48
FDT07,5.82,Regular,0.08,Fruits and Vegetables,257.63,OUT013,1987,High,Tier 3,Supermarket Type1,1538
FDJ10,,Regular,0.13,Snack Foods,139.18,OUT027,1985,Medium,Tier 3,Supermarket Type3,4916.93
FDA38,5.44,Low Fat,0.03,Dairy,238.75,OUT049,1999,Medium,Tier 1,Supermarket Type1,3605.31
FDW32,,Regular,0.17,Fruits and Vegetables,87.79,OUT019,1985,Small,Tier 1,Grocery Store,515.33
NCW18,15.1,Low Fat,0.06,Household,237.92,OUT049,1999,Medium,Tier 1,Supermarket Type1,2133.22
FDQ44,20.5,Low Fat,0.04,Fruits and Vegetables,121.28,OUT018,2009,Medium,Tier 3,Supermarket Type2,2181.16
FDQ34,10.85,Low Fat,0.16,Snack Foods,104.96,OUT018,2009,Medium,Tier 3,Supermarket Type2,1482.07
FDN08,7.72,Regular,0.15,Fruits and Vegetables,116.65,OUT010,1998,,Tier 3,Grocery Store,117.85
FDK57,,Low Fat,0.08,Snack Foods,120.04,OUT027,1985,Medium,Tier 3,Supermarket Type3,4434.23
DRG48,5.78,Low Fat,0.02,Soft Drinks,147.31,OUT018,2009,Medium,Tier 3,Supermarket Type2,2332.96
FDH52,,Regular,0.08,Frozen Foods,62.12,OUT019,1985,Small,Tier 1,Grocery Store,123.84
NCH43,8.42,Low Fat,0.07,Household,216.02,OUT035,2004,Small,Tier 2,Supermarket Type1,2372.91
FDD35,12.15,Low Fat,0.03,Starchy Foods,120.24,OUT045,2002,,Tier 2,Supermarket Type1,2277.04
FDR01,5.405,Regular,0.05,Canned,197.77,OUT035,2004,Small,Tier 2,Supermarket Type1,796.3
FDS23,4.635,Low Fat,0.14,Breads,127.1,OUT045,2002,,Tier 2,Supermarket Type1,2826.99
FDJ53,10.5,Low Fat,0.07,Frozen Foods,121.31,OUT049,1999,Medium,Tier 1,Supermarket Type1,1446.12
FDA32,14,Low Fat,0.03,Fruits and Vegetables,215.72,OUT046,1997,Small,Tier 1,Supermarket Type1,1078.6
FDX01,10.1,Low Fat,0.02,Canned,117.62,OUT018,2009,Medium,Tier 3,Supermarket Type2,1514.7
FDA48,12.1,Low Fat,0.12,Baking Goods,222.01,OUT045,2002,,Tier 2,Supermarket Type1,3547.38
FDI09,20.75,Regular,0.13,Seafood,238.19,OUT046,1997,Small,Tier 1,Supermarket Type1,5033.45
DRF13,12.1,Low Fat,0.03,Soft Drinks,144.34,OUT049,1999,Medium,Tier 1,Supermarket Type1,2612.6
FDK25,11.6,Regular,0.16,Breakfast,168.35,OUT017,2007,,Tier 2,Supermarket Type1,4548.08
FDC20,10.65,Low Fat,0.02,Fruits and Vegetables,54.03,OUT046,1997,Small,Tier 1,Supermarket Type1,447.42
FDQ19,7.35,Regular,0.01,Fruits and Vegetables,241.35,OUT045,2002,,Tier 2,Supermarket Type1,5331.73
FDV50,14.3,Low Fat,0.12,Dairy,121.97,OUT013,1987,High,Tier 3,Supermarket Type1,2709.81
DRG37,16.2,Low Fat,0.02,Soft Drinks,153.8,OUT045,2002,,Tier 2,Supermarket Type1,1402.17
FDS08,5.735,Low Fat,0.06,Fruits and Vegetables,176.34,OUT046,1997,Small,Tier 1,Supermarket Type1,1764.37
FDG22,17.6,Regular,0.04,Snack Foods,38.12,OUT035,2004,Small,Tier 2,Supermarket Type1,732.38
DRJ47,,Low Fat,0.04,Hard Drinks,173.31,OUT027,1985,Medium,Tier 3,Supermarket Type3,6751.21
FDZ43,,Regular,0.06,Fruits and Vegetables,241.25,OUT027,1985,Medium,Tier 3,Supermarket Type3,8239.94
FDJ50,8.645,Low Fat,0.02,Canned,53.4,OUT035,2004,Small,Tier 2,Supermarket Type1,1209.76
FDV35,19.5,Low Fat,0.13,Breads,155.93,OUT046,1997,Small,Tier 1,Supermarket Type1,3878.29
DRL35,15.7,Low Fat,0.03,Hard Drinks,43.28,OUT045,2002,,Tier 2,Supermarket Type1,649.16
FDS24,20.85,Regular,0.06,Baking Goods,86.95,OUT045,2002,,Tier 2,Supermarket Type1,1416.82
FDS13,6.465,Low Fat,0,Canned,263.19,OUT018,2009,Medium,Tier 3,Supermarket Type2,2914.87
FDW26,,Regular,0.11,Dairy,222.38,OUT027,1985,Medium,Tier 3,Supermarket Type3,1556.64
FDQ12,,Low Fat,0.06,Baking Goods,230,OUT019,1985,Small,Tier 1,Grocery Store,689.1
FDL36,15.1,Low Fat,0.08,Baking Goods,91.58,OUT017,2007,,Tier 2,Supermarket Type1,539.3
DRJ11,9.5,Low Fat,0.14,Hard Drinks,189.99,OUT010,1998,,Tier 3,Grocery Store,756.35
NCT17,,Low Fat,0.04,Health and Hygiene,188.62,OUT027,1985,Medium,Tier 3,Supermarket Type3,6029.48
DRH36,16.2,Low Fat,0,Soft Drinks,73.47,OUT013,1987,High,Tier 3,Supermarket Type1,2087.95
NCA17,20.6,Low Fat,0.05,Health and Hygiene,148.44,OUT013,1987,High,Tier 3,Supermarket Type1,1789.67
FDG41,8.84,Regular,0.08,Frozen Foods,110.72,OUT049,1999,Medium,Tier 1,Supermarket Type1,1657.84
NCS38,8.6,Low Fat,0.09,Household,112.62,OUT018,2009,Medium,Tier 3,Supermarket Type2,3091.98
FDQ16,19.7,Low Fat,0.04,Frozen Foods,109.19,OUT013,1987,High,Tier 3,Supermarket Type1,1637.87
FDS40,15.35,Low Fat,0.01,Frozen Foods,37.22,OUT017,2007,,Tier 2,Supermarket Type1,805.62
FDV31,9.8,Low Fat,0.11,Fruits and Vegetables,175.34,OUT045,2002,,Tier 2,Supermarket Type1,529.31
NCD42,16.5,Low Fat,0.01,Health and Hygiene,39.35,OUT045,2002,,Tier 2,Supermarket Type1,645.16
FDW21,,Regular,0.01,Snack Foods,98.84,OUT027,1985,Medium,Tier 3,Supermarket Type3,2010.72
DRF60,10.8,low fat,0.05,Soft Drinks,240.36,OUT045,2002,,Tier 2,Supermarket Type1,4290.42
FDQ36,,Regular,0,Baking Goods,38.18,OUT019,1985,Small,Tier 1,Grocery Store,37.28
FDP34,12.85,Low Fat,0.14,Snack Foods,157.76,OUT018,2009,Medium,Tier 3,Supermarket Type2,2659.87
FDI02,15.7,Regular,0.12,Canned,112.02,OUT017,2007,,Tier 2,Supermarket Type1,3150.57
FDG50,7.405,Low Fat,0.02,Canned,92.71,OUT018,2009,Medium,Tier 3,Supermarket Type2,1185.79
FDV48,9.195,Regular,0.05,Baking Goods,78.16,OUT017,2007,,Tier 2,Supermarket Type1,1414.16
FDH02,7.27,Regular,0.02,Canned,89.05,OUT013,1987,High,Tier 3,Supermarket Type1,181.1
NCD43,8.85,Low Fat,0.02,Household,105.7,OUT013,1987,High,Tier 3,Supermarket Type1,210.39
FDE46,18.6,Low Fat,0.02,Snack Foods,152.94,OUT035,2004,Small,Tier 2,Supermarket Type1,1662.5
NCO42,,Low Fat,0.03,Household,144.61,OUT027,1985,Medium,Tier 3,Supermarket Type3,3791.07
FDR40,9.1,Regular,0.01,Frozen Foods,78.76,OUT049,1999,Medium,Tier 1,Supermarket Type1,402.81
DRE48,8.43,Low Fat,0.02,Soft Drinks,196.28,OUT045,2002,,Tier 2,Supermarket Type1,1576.61
FDV16,7.75,Regular,0.08,Frozen Foods,35.26,OUT046,1997,Small,Tier 1,Supermarket Type1,780.98
